호선,역명,위도,경도
6,상월곡역,37.606392,127.048509
5,상일동역,37.556714,127.166381
6,새절역,37.591148,126.913613
9,샛강역,37.517274,126.928422
5,서대문역,37.565812,126.966639
1+4,서울역,37.553161,126.9726845
2,서울대입구역,37.481233,126.952745
2,서초역,37.49191,127.007945
6,석계역,37.614937,127.065922
8+9,석촌역,37.505337,127.10696949999999
9,석촌고분역,37.502439,127.096611
2,선릉역,37.504257,127.048174
9,선유도역,37.53802,126.893525
9,선정릉역,37.51098,127.043593
2,성수역,37.544628,127.055983
4,성신여대입구역,37.592782,127.017338
5,송정역,37.561411,126.812052
8,송파역,37.49978,127.11212
9,송파나루역,37.51055,127.112451
7,수락산역,37.677804,127.055314
3,수서역,37.487507,127.101324
4,수유역,37.637127,127.024731
8,수진역,37.437575,127.140936
4,숙대입구역,37.545124,126.971952
7,숭실대입구역,37.496258,126.953649
1+2,시청역,37.563562,126.975339
5,신금호역,37.554504,127.020403
5,신길역,37.51763,126.914886
6,신내역,37.612571,127.104326
9,신논현역,37.504598,127.02506
2,신답역,37.56147,127.056348
2+6,신당역,37.5659275,127.01782299999999
2,신대방역,37.487534,126.913279
7,신대방삼거리역,37.499717,126.928218
2,신도림역,37.508815,126.891222
2,신림역,37.484216,126.929573
9,신목동역,37.544277,126.88308
9,신반포역,37.503415,126.995925
9,신방화역,37.567532,126.816601
3,신사역,37.516438,127.020247
1+2,신설동역,37.575385,127.024934
4,신용산역,37.52919,126.96858
5,신정역,37.525001,126.856176
2,신정네거리역,37.520218,126.852849
2,신촌역,37.555153,126.93689
7,신풍역,37.500107,126.909806
8,신흥역,37.440952,127.14759
4,쌍문역,37.648274,127.034381
5,아차산역,37.552005,127.089609
2,아현역,37.557407,126.956079
3,안국역,37.576562,126.98547
6,안암역,37.586261,127.02903
8,암사역,37.550127,127.127521
3,압구정역,37.526169,127.028502
5,애오개역,37.553592,126.956733
3+6,약수역,37.5543805,127.01043250000001
3,양재역,37.48466,127.03513
2,양천구청역,37.512194,126.865193
9,양천향교역,37.568381,126.841333
5,양평역,37.525614,126.886177
7,어린이대공원역,37.547962,127.07465
9,언주역,37.507287,127.033868
5,여의나루역,37.527145,126.932807
5+9,여의도역,37.521601000000004,126.92425449999999
2,역삼역,37.500658,127.03643
6,역촌역,37.60605,126.922764
3+6,연신내역,37.6187255,126.920689
9,염창역,37.546936,126.874916
2+5,영등포구청역,37.524987499999995,126.8958245
5,영등포시장역,37.52276,126.905143
3+5,오금역,37.502258,127.1280225
5,오목교역,37.524557,126.875049
3,옥수역,37.541653,127.017303
7,온수역,37.492059,126.823294
5,올림픽공원역,37.516217,127.130957
9,올림픽공원(한국체대)역,37.516111,127.130333
2+5,왕십리역,37.5615645,127.0363845
2,용답역,37.566412,126.977863
2,용두역,37.574012,127.03811
7,용마산역,37.573752,127.086802
5,우장산역,37.548864,126.83633
6,월곡역,37.60192,127.041492
6,월드컵경기장역,37.569439,126.899077
2+3,을지로3가역,37.566295499999995,126.9921945
2+5,을지로4가역,37.566595500000005,126.99812449999999
2,을지로입구역,37.565998,126.982569
6,응암역,37.59859,126.915583
2,이대역,37.556734,126.945897
4,이촌역,37.522525,126.97335
6,이태원역,37.534485,126.994369
3,일원역,37.48389,127.08416
2+8,잠실역,37.513977,127.10219799999999
2,잠실나루역,37.520688,127.103836
2,잠실새내역,37.520731,127.103738
3,잠원역,37.512989,127.011613
7,장승배기역,37.504845,126.939025
7,장암역,37.70015,127.053126
8,장지역,37.478609,127.126229
5,장한평역,37.561438,127.064601
1,제기동역,37.578116,127.034902
1,종각역,37.570203,126.983116
1+3+5,종로3가역,37.571504,126.99125966666668
1,종로5가역,37.570971,127.0019
2+9,종합운동장역,37.511082,127.075279
7,중계역,37.645052,127.064084
7,중곡역,37.565877,127.084291
9,중앙보훈병원역,37.528807,127.148488
7,중화역,37.602604,127.079254
9,증미역,37.557402,126.861939
6,증산역,37.583989,126.909785
3,지축역,37.648281,126.912551
4,창동역,37.652993,127.046746
6,창신역,37.579772,127.015246
7,천왕역,37.486699,126.838684
5+8,천호역,37.538243,127.123359
7,철산역,37.47616,126.868217
5+6,청구역,37.560229,127.01378299999999
7,청담역,37.519097,127.051851
1,청량리역,37.580148,127.045063
4+7,총신대입구역,37.4863895,126.98203749999999
3+4,충무로역,37.561302,126.995473
2+5,충정로역,37.559901499999995,126.963619
6+7,태릉입구역,37.617319,127.074741
7,하계역,37.636363,127.067999
5,하남검단산역,37.539729,127.223427
5,하남시청역,37.541723,127.206901
5,하남풍산역,37.552201,127.203897
7,학동역,37.514262,127.031738
3,학여울역,37.496757,127.070541
6,한강진역,37.53956,127.001729
4,한성대입구역,37.58838,127.006751
9,한성백제역,37.516369,127.116211
2,한양대역,37.55658,127.043504
2+6,합정역,37.549529,126.9140515
5,행당역,37.557297,127.029482
4,혜화역,37.582116,127.001759
2,홍대입구역,37.556748,126.923643
3,홍제역,37.588851,126.944092
5,화곡역,37.541585,126.840436
6,화랑대역,37.619875,127.084106
4,회현역,37.559698,126.979565
6,효창공원앞역,37.539279,126.961348
9,흑석(중앙대입구)역,37.50877,126.963708
